index,timestamp,width,height,frame_id,filename,angle,torque,speed,lat,long,alt,
17:46.4,1.47942E+18,640,480,center_camera,center/1479424666428650845.jpg,0.148004669,0.752494602,10.50044349,37.49695587,-122.3624268,190.0425231,262 200|267 240|316 237|312 194
17:46.5,1.47942E+18,640,480,center_camera,center/1479424666528631924.jpg,0.160570294,0.875,10.45888028,37.49695969,-122.3624344,190.1495087,264 206|268 247|320 244|316 200
17:46.6,1.47942E+18,640,480,center_camera,center/1479424666628657711.jpg,0.165806279,0.684010351,10.42531036,37.49695969,-122.3624496,190.254579,269 206|272 248|327 242|322 198
17:46.7,1.47942E+18,640,480,center_camera,center/1479424666728693349.jpg,0.162424658,0.320309109,10.38697891,37.4969635,-122.3624573,190.365633,275 212|279 254|335 249|330 205
17:46.8,1.47942E+18,640,480,center_camera,center/1479424666828651022.jpg,0.162176198,0.417529018,10.34555381,37.4969635,-122.3624725,190.4668487,284 217|288 262|345 256|340 210
17:46.9,1.47942E+18,640,480,center_camera,center/1479424666928736493.jpg,0.177450958,0.760252699,10.29512767,37.49696732,-122.3624802,190.5782881,289 224|295 269|352 264|348 216
17:47.0,1.47942E+18,640,480,center_camera,center/1479424667028732307.jpg,0.214010942,0.744050552,10.23743283,37.49696732,-122.3624954,190.6864099,296 229|301 277|360 270|355 220
17:47.1,1.47942E+18,640,480,center_camera,center/1479424667128695379.jpg,0.221656814,0.33659962,10.17858155,37.49697113,-122.3625031,190.7936214,294 240|299 289|361 282|356 231
17:47.2,1.47942E+18,640,480,center_camera,center/1479424667228691413.jpg,0.218166158,0.347658351,10.11848954,37.49697113,-122.3625183,190.9090459,289 251|294 303|359 297|353 245
17:47.3,1.47942E+18,640,480,center_camera,center/1479424667328768732.jpg,0.239842918,0.915745046,10.05865572,37.49697495,-122.3625259,191.0201557,280 259|285 313|352 305|346 252
17:47.4,1.47942E+18,640,480,center_camera,center/1479424667428747631.jpg,0.296995027,1.117550135,10.01488261,37.49697495,-122.3625412,191.1547451,274 267|280 321|349 315|344 257
17:47.5,1.47942E+18,640,480,center_camera,center/1479424667528770673.jpg,0.354068589,1.125479765,9.984383234,37.49697876,-122.3625488,191.2540068,280 280|285 336|358 328|351 270
17:47.6,1.47942E+18,640,480,center_camera,center/1479424667628843862.jpg,0.4039483,1.017333338,9.954703715,37.49697876,-122.3625641,191.3494938,293 296|299 354|374 348|367 287
17:47.7,1.47942E+18,640,480,center_camera,center/1479424667728807376.jpg,0.407177569,0.44673627,9.889710255,37.49698257,-122.3625717,191.4891519,305 317|313 378|389 368|384 305
17:47.8,1.47942E+18,640,480,center_camera,center/1479424667828875759.jpg,0.369033168,0.481648657,9.829409115,37.49698257,-122.362587,191.6040959,304 344|312 406|392 398|385 333
17:47.9,1.47942E+18,640,480,center_camera,center/1479424667928905141.jpg,0.361283153,0.270096956,9.717015319,37.49698257,-122.3625946,191.7010359,296 365|304 431|386 421|379 352
17:48.0,1.47942E+18,640,480,center_camera,center/1479424668028848410.jpg,0.37467072,0.708814355,9.624967772,37.49698639,-122.3626022,191.8165741,290 381|298 449|386 440|378 369
17:48.1,1.47942E+18,640,480,center_camera,center/1479424668128879346.jpg,0.406911754,0.678545843,9.553331936,37.49698639,-122.3626175,191.9105381,284 399|293 469|382 459|375 386
17:48.2,1.47942E+18,640,480,center_camera,center/1479424668178883018.jpg,0.426946033,1.018602962,9.517716661,37.49698639,-122.3626251,191.978517,287 417|295 489|387 479|376 403
17:48.2,1.47942E+18,640,480,center_camera,center/1479424668228940511.jpg,0.451936091,1.11396156,9.475656513,37.49698639,-122.3626251,192.0204616,284 435|294 509|387 498|379 422
