index,timestamp,width,height,frame_id,filename,angle,torque,speed,lat,long,alt,
20:32.1,1.47942E+18,640,480,center_camera,center/1479424832057547996.jpg,0.083775803,-0.464419679,15.00635166,37.48930359,-122.3738251,115.2378441,219 181|221 346|261 346|261 181
20:32.1,1.47942E+18,640,480,center_camera,center/1479424832107518980.jpg,0.081890321,-0.547443305,15.01178044,37.48931122,-122.3738327,115.1826307,221 185|221 350|262 351|262 185
20:32.2,1.47942E+18,640,480,center_camera,center/1479424832207627529.jpg,0.082030475,-0.615038593,15.00855459,37.48932266,-122.3738403,115.0995586,226 185|227 352|267 353|266 188
20:32.3,1.47942E+18,640,480,center_camera,center/1479424832257571314.jpg,0.07884608,-0.75,15.01552152,37.48932648,-122.3738403,115.046635,226 187|226 354|266 353|265 188
20:32.4,1.47942E+18,640,480,center_camera,center/1479424832357970191.jpg,0.058861885,-0.884390662,15.00277805,37.48933792,-122.3738556,114.9364835,220 186|222 352|263 352|261 186
20:32.4,1.47942E+18,640,480,center_camera,center/1479424832408258376.jpg,0.049104981,-0.879221298,15.01092363,37.48934555,-122.3738556,114.8836762,219 187|220 354|259 353|259 187
20:32.5,1.47942E+18,640,480,center_camera,center/1479424832507666965.jpg,0.04712389,-0.6875,15.01915684,37.48935699,-122.3738632,114.7985397,216 189|217 356|258 356|257 189
20:32.6,1.47942E+18,640,480,center_camera,center/1479424832557639624.jpg,0.049553716,-0.488964732,15.03164524,37.48936081,-122.3738708,114.7396908,217 189|218 357|258 357|257 190
20:32.7,1.47942E+18,640,480,center_camera,center/1479424832657697419.jpg,0.063506098,-0.399144528,15.04166698,37.48937225,-122.3738785,114.623531,217 190|217 358|258 357|258 190
20:32.7,1.47942E+18,640,480,center_camera,center/1479424832707639810.jpg,0.064577185,-0.547273186,15.04444408,37.48937988,-122.3738861,114.6083079,216 189|217 355|256 357|256 190
20:32.8,1.47942E+18,640,480,center_camera,center/1479424832807761490.jpg,0.061302629,-0.867261327,15.04965622,37.48939133,-122.3738937,114.4934032,213 187|214 354|254 354|253 187
20:32.9,1.47942E+18,640,480,center_camera,center/1479424832857730038.jpg,0.061086524,-0.835644129,15.05452697,37.48939514,-122.3739014,114.4334299,212 188|213 356|255 355|254 188
20:33.0,1.47942E+18,640,480,center_camera,center/1479424832957702822.jpg,0.059341196,-0.8125,15.05000019,37.48940659,-122.373909,114.3603122,216 186|216 354|257 354|256 186
20:33.0,1.47942E+18,640,480,center_camera,center/1479424833007740791.jpg,0.057595864,-0.883926857,15.04761893,37.48941422,-122.373909,114.2995137,215 185|217 353|256 353|256 185
20:33.1,1.47942E+18,640,480,center_camera,center/1479424833107741441.jpg,0.054105207,-0.875,15.03375222,37.48942566,-122.3739243,114.1845978,218 187|220 354|261 355|259 186
20:33.2,1.47942E+18,640,480,center_camera,center/1479424833157731438.jpg,0.050614547,-0.875,15.02308777,37.48942947,-122.3739243,114.1268402,217 187|220 356|260 356|258 188
20:33.3,1.47942E+18,640,480,center_camera,center/1479424833257824550.jpg,0.050614547,-0.771351334,15,37.48944092,-122.3739395,114.0447359,216 186|217 355|258 354|257 185
20:33.3,1.47942E+18,640,480,center_camera,center/1479424833307911823.jpg,0.050614547,-0.769873228,15.00044167,37.48944855,-122.3739395,113.987895,215 186|216 355|256 355|255 186
20:33.4,1.47942E+18,640,480,center_camera,center/1479424833407887001.jpg,0.048869219,-0.8125,15.00231104,37.48945999,-122.3739471,113.8678562,215 181|216 350|258 350|256 182
20:33.5,1.47942E+18,640,480,center_camera,center/1479424833457882809.jpg,0.049442746,-0.771424097,15,37.48946381,-122.3739548,113.8520345,218 179|218 348|260 349|259 179
